,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N],[6]_extended+pwi[Pr.Pl.36N]
Pr_training,0.7160787848816124,0.6093658597488296,0.6133890803065863,0.6712242104828384,0.6416167787253438,0.6817128900949685,0.6817731764701144,0.695067084993943,0.7115942180686898,0.6872063989267069,0.6884026785733554,0.6934091822641901
Pl_training,0.6290715495407061,0.4791586807166847,0.4765697529734762,0.5459497475791371,0.5013758995456681,0.6185962798368765,0.5704378909252791,0.5810931180413267,0.6058837909713561,0.5768949380608972,0.5786180923346549,0.5820979763655825
36N_training,0.340658075634095,0.5376338675286563,0.5561683443159458,0.5573002956108257,0.5615697230845993,0.462535712172513,0.6399073266970978,0.6550260345453329,0.6560304466862563,0.6578494781728925,0.6579951234829065,0.6790567253536017
Pr.Pl_training,0.6736005736580333,0.5221192985015775,0.5188449120147005,0.5956808374014968,0.5586930194883614,0.6373533807572804,0.5968478609894186,0.6023531588884221,0.6367357104931339,0.6033524663074226,0.6051077714742606,0.6097572395675952
Pr_validation,0.7142464580067325,0.6374765973285401,0.6404544222469831,0.693435441395593,0.6662482552963621,0.6902170904583564,0.6944296434714713,0.7103211118056691,0.7279891797464848,0.7069861901308552,0.708019104169955,0.7142815723640826
Pl_validation,0.6061740617597708,0.4922141782161093,0.4887324698625433,0.5557535159609481,0.5135498976344381,0.6041603145774188,0.580131722520465,0.592372135743582,0.6156031459067282,0.5887290485518083,0.5906148166710452,0.5956610257612013
36N_validation,0.3807085933154658,0.5574635697430449,0.5710558716788279,0.5760118945247076,0.5774037184033786,0.476988021835513,0.6426697813057329,0.6698268814163967,0.6698269567892245,0.6681448089117633,0.6697506603249931,0.6864483505061331
Pr.Pl_validation,0.6722524870738231,0.5523418809135485,0.5503568970889332,0.6211991510142305,0.5879356270600495,0.6416090715289847,0.6208528485572733,0.6294442858691467,0.6597078182101911,0.6292426261253847,0.6308726644134897,0.6358577840675429
Pr_evaluation,0.7303834714595281,0.6233149076857133,0.6335157379712872,0.688605552907604,0.6604523397363069,0.7026761071211202,0.6966052664299525,0.708075818509043,0.7192075085785291,0.6948218960048735,0.6957461756875231,0.7002660667799362
Pl_evaluation,0.6206699443386446,0.4834517225992218,0.4745370262305521,0.54474209834158,0.5015638950406032,0.6127217380540656,0.5702775851112314,0.5796390020794899,0.6068981936791428,0.5773081820563399,0.5790268312374419,0.5830452587880419
36N_evaluation,0.5099809240359061,0.6512300828846238,0.6621319305551375,0.6657812130340229,0.6636133175155634,0.6225023138019159,0.7533664313002035,0.770971579672363,0.7696108371585415,0.7664669381139547,0.7678538952326758,0.7821728253847023
Pr.Pl_evaluation,0.680131763205312,0.5366840688383825,0.5304047933208638,0.6063907606065206,0.5711020512838463,0.6479471054494359,0.6069161974113217,0.6100165372803714,0.6418863770158062,0.6083423540012288,0.6099562817511963,0.6156216931224642
Pr_all,0.7186189079005216,0.6174363382251213,0.6227724623627584,0.6792084630248709,0.6503488067330173,0.6876272004146197,0.6873634103624754,0.7008658253880174,0.7166260789257359,0.6929483471518996,0.694056338529813,0.699199257082838
Pl_all,0.6229503762093248,0.4816802340980847,0.477578735314979,0.5470301215896245,0.5030472432196718,0.6147794984889647,0.5717831120951211,0.5825306256201548,0.6077502462349422,0.5789760849907903,0.5807298584082529,0.5846001285130024
36N_all,0.3849015271599163,0.5741373808722212,0.5897825494083103,0.5921771033537946,0.5946177137191939,0.4970618395324715,0.6717952791782603,0.6896896506909439,0.6898935330375069,0.6899160556835695,0.6905908929267118,0.7092967515530417
Pr.Pl_all,0.6746383872226138,0.5301151067198657,0.5265700883549453,0.6024374732725846,0.5664061894743171,0.6402098533781099,0.6032740547181914,0.608934737610729,0.6421896763324078,0.6092905728319569,0.6109959921951049,0.6158868801474441
