,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N],[6]_extended+pwi[Pr.Pl.36N]
Pr_training,0.7328332818483289,0.7901812114586009,0.7980007936088286,0.7959639557740803,0.7948833711113077,0.6867488299190329,0.7694737706922309,0.7807520101257809,0.7789572921731457,0.7786343371346699,0.7796261225171621,0.7862815712765941
Pl_training,0.6586195344053878,0.6941254867741107,0.7056044627172924,0.7075981136670768,0.7039663016026014,0.6317335690689114,0.6922095874109409,0.7081729882542724,0.7054577174498522,0.7061235303699462,0.7058605122029797,0.7100396834691312
36N_training,0.34067434568469324,0.5383555302173602,0.557323535512855,0.5582233225702613,0.5623546753257085,0.463186406856171,0.6446973349178373,0.6569096137915363,0.6581483706080491,0.659912378441041,0.6603414084296783,0.6818240084467317
Pr.Pl_training,0.699412925050652,0.7487550118278226,0.7574743544271701,0.7579677008038694,0.7562884930514571,0.6496942561957281,0.7237100110032776,0.7349102961048037,0.7369766848788151,0.7368927281727986,0.7369074812336189,0.7426719261532263
Pr_validation,0.7286765208316099,0.7982139210948211,0.8058371649043166,0.8050192368775182,0.8034651195207585,0.6924626177519104,0.7736253794176906,0.786631204071551,0.7866645156569307,0.7865615266617929,0.7878132738796756,0.7948182147806685
Pl_validation,0.6286947364489623,0.6937570537962812,0.7036813324387922,0.7033487996526778,0.7014599569508044,0.6148361239843809,0.6927051527161823,0.7081394058071289,0.7042225623923545,0.706188694145035,0.7068055828974542,0.71403254485236
36N_validation,0.3806241216701859,0.5564134403677208,0.5689201625440012,0.5736904453767407,0.5757361294729049,0.4754667691120578,0.6469219395582599,0.6708579785972564,0.6710400300687356,0.6690822596076399,0.6707156089137372,0.6877328236692789
Pr.Pl_validation,0.6936400854023739,0.7606835331767037,0.7694764388297517,0.7685877171677843,0.7677059069081185,0.6510430122219394,0.7353565484515905,0.7479052616629449,0.7483450488535229,0.748830715225616,0.7494550901000229,0.7558242251631446
Pr_evaluation,0.7467315340247236,0.7989293666559425,0.8088825702578069,0.8058935687373616,0.8051397432017299,0.7075934121018324,0.78380765243917,0.7927977841452278,0.7865957919131459,0.7865400748264151,0.7871644810305157,0.7932392028818709
Pl_evaluation,0.6479995161432026,0.6954423946899548,0.7053125607751537,0.7071572848137941,0.7042071495277622,0.6254850771472666,0.6925338590594879,0.7084941434227905,0.7065907449621119,0.7067508237817391,0.7070081075053894,0.7132236829722193
36N_evaluation,0.509770734580445,0.6475546153425047,0.6549025574910725,0.6576273542061211,0.6573911297632832,0.6173195924237261,0.7681650782550574,0.777830116282806,0.7770270249922488,0.7754155497094559,0.7757476069833935,0.7892956392953274
Pr.Pl_evaluation,0.7051805782040645,0.7566416919538644,0.7645534331052015,0.7645750326485898,0.7632245640251295,0.6600470931267995,0.7333325349307634,0.7424613563012237,0.7421050652315829,0.7420458927751951,0.7420505028779099,0.7485394955376695
Pr_all,0.7348204374433618,0.7934647314729477,0.8017346994036857,0.7998029741892834,0.7987051279690311,0.692075896131487,0.7732173280846011,0.7844034137658092,0.7821751183770598,0.781952507125059,0.7829217409107687,0.7895310810587556
Pl_all,0.6506257663328556,0.6940324010269058,0.7049277030362076,0.706521768698542,0.7033404105071652,0.6273338713289192,0.6922165062050439,0.7081582380076638,0.7054539920646049,0.7062705273779002,0.7062883651803897,0.7114413670681304
36N_all,0.3848486936939046,0.5735468214004638,0.5884469637403285,0.5904645449660293,0.5933763076842379,0.4958770423796521,0.6787086034188836,0.6926371125098042,0.6931314454168702,0.6934253362140879,0.6940621004627399,0.7129260641238117
Pr.Pl_all,0.6994559421136104,0.7525598677846382,0.7611835463734954,0.7613368067691327,0.7598987516834076,0.6519536548177636,0.7278875744989497,0.738978294435152,0.740293339935687,0.7403338031483964,0.7404619295474724,0.7464754694816563
