,[0]_stm[Pr],[1]_stm+flex[Pr],[2]_stm+flex+cumul[Pr],[3]_stm+flex+cumul+rbs[Pr],[4]_stm+flex+cumul+rbs+rc[Pr],[0]_stm[Pr.Pl.36N],[1]_stm+flex[Pr.Pl.36N],[2]_stm+flex+cumul[Pr.Pl.36N],[3]_stm+flex+cumul+rbs[Pr.Pl.36N],[4]_stm+flex+cumul+rbs+rc[Pr.Pl.36N],[5]_extended[Pr.Pl.36N],[6]_extended+pwi[Pr.Pl.36N]
Pr_training,6263.949620540774,5668.386856705223,5638.971169854826,5615.666256804706,5604.337348576904,6629.111158549009,5913.544185434734,5853.4250780472985,5820.703233066914,5798.2133150591735,5794.991800986587,5725.341793610468
Pl_training,1536.8181246544034,1588.1923785577433,1587.9481725828118,1510.9337228269367,1548.4890736191992,1558.363012268258,1455.6257140144885,1449.7658247737827,1431.0981485680368,1441.353125083407,1441.8903502954518,1428.3590327095867
36N_training,18012.55336743789,16998.74608607306,16873.058238187874,16865.0962863409,16836.57048841039,17284.57450498005,16281.360874294382,16191.277199076465,16182.828240440158,16173.275415577777,16165.140133425639,16034.060576179625
Pr.Pl_training,7775.754711165838,7215.1439406061245,7185.5724508613575,7085.562646257202,7121.810313021365,8127.627410900009,7307.559958657868,7237.429029305423,7199.343724835927,7183.056315589685,7180.134371195029,7099.820590015052
Pr_validation,2113.0879113621672,1920.9305724807602,1907.3135387165808,1895.2536729709907,1895.662979320814,2218.0327698823103,1995.878327874093,1969.069883843086,1955.757927028313,1947.917844741979,1947.4815486272962,1922.769724043736
Pl_validation,509.34038312669566,479.39991877820427,476.6998285397171,472.36256991001784,472.99861284442596,512.8695203532568,454.0732102158337,451.5321570127056,451.910009505227,449.3770618886238,449.81938523442216,445.45794316842205
36N_validation,5985.993265764741,5632.651974203968,5598.959592963096,5590.103907902044,5584.834295707426,5770.7998770144,5442.903051190975,5390.380359754283,5387.201174161002,5391.800282439827,5388.439090976465,5353.078923051324
Pr.Pl_validation,2614.1782774365875,2391.871120233172,2375.358566509285,2359.029329535381,2363.438113021891,2716.6767393406417,2435.833194479707,2404.9014088065837,2396.240805872228,2385.034291862232,2384.9654742788807,2355.985492139763
Pr_evaluation,2072.7287507732485,1891.3039719218923,1875.9990011130592,1872.0965097492267,1869.6903824039498,2169.7150234371697,1936.2079807696769,1923.4798678979346,1926.4336656090354,1921.6413562402265,1921.3338492531054,1897.685063368392
Pl_evaluation,511.97530884052674,480.47038655986137,477.9256481808163,472.77636598877467,474.75050061044783,515.4947529304033,458.27696308994086,455.38939560962797,455.87068898510915,454.56294560339717,454.8126303088285,448.94807120396274
36N_evaluation,5861.7052315674855,5503.91859011051,5472.721127400888,5465.308915232372,5464.702165629979,5590.469354489058,5220.205585149197,5198.822607668028,5198.97725948359,5204.472075858839,5199.120796475982,5167.0303634628435
Pr.Pl_evaluation,2581.211709150049,2367.744366047061,2351.471985067763,2341.580207212057,2344.701370072956,2674.79066663984,2386.223881057449,2370.114699796174,2374.3063009795733,2366.8028343905403,2366.547493818497,2337.1033092187645
Pr_all,10451.19156251182,9483.264468694244,9424.612234400432,9384.805342148898,9371.615113541038,11016.750716758987,9846.1955283188,9746.369674624972,9702.82675852445,9667.623720334916,9663.548461321705,9545.722732431981
Pl_all,2557.602444056703,2546.979763604162,2541.314120398892,2454.865243449606,2494.924059500128,2585.7196427193226,2366.2498535855616,2354.904617008089,2337.131887849829,2343.5339994479555,2344.7741998064903,2321.1669809780365
36N_all,29835.36497699675,28054.27747340577,27865.957090655233,27841.74032940459,27807.388464934716,28639.86636681437,26847.72904019785,26687.98844662235,26678.4224105883,26681.49904383895,26662.96122137291,26464.602187972305
Pr.Pl_all,12972.079943851499,11975.98908896804,11913.338283601975,11787.231685879766,11830.848718982945,13519.857639529097,12130.700729139751,12013.238591466623,11970.45242289271,11935.313547026934,11931.999342725769,11793.216466175149
