,best,best-CR,best-CR-occl,best-CR-occl-cumul,best-CR-occl-cumul-flex
Pr_training,0.6884026785733554,0.7075041012028278,0.7132812051325995,0.6966208924688959,0.604320686151169
Pl_training,0.5786180923346549,0.5991350464668501,0.6047943289160839,0.5808506264289246,0.5307172800933913
36N_training,0.6579951234829065,0.6581448389241195,0.6583322416475554,0.6405819425290286,0.37188574859371404
Pr.Pl_training,0.6051077714742606,0.628653294004071,0.6214694052614648,0.6145427064828315,0.5473863765336962
Pr_validation,0.708019104169955,0.7255575332050587,0.7265054345911374,0.7112711481950642,0.6148062830165517
Pl_validation,0.5906148166710452,0.6108027051706275,0.6190416324572166,0.5918398019950541,0.508161716146
36N_validation,0.6697506603249931,0.6684005894174292,0.6695356199716751,0.6381609736698237,0.4176769659369558
Pr.Pl_validation,0.6308726644134897,0.6535273739709044,0.64845089599552,0.6415543016675842,0.5514967036860385
Pr_evaluation,0.6957461756875231,0.7150852574349154,0.7280557619098909,0.7143621700024669,0.6190028523240217
Pl_evaluation,0.5790268312374419,0.5998072541088387,0.6048292999041782,0.5793897525839399,0.528819328436756
36N_evaluation,0.7678538952326758,0.7673635281651813,0.7708536594497244,0.7574483522887024,0.5388131284858926
Pr.Pl_evaluation,0.6099562817511963,0.6338410163571666,0.6317544943913523,0.6265774633649912,0.554196928021575
Pr_all,0.694056338529813,0.712872600943971,0.7189775718283415,0.7032029737985037,0.6096150706254321
Pl_all,0.5807298584082529,0.601280165306037,0.6071543750130153,0.5821569271105245,0.5260670893130659
36N_all,0.6905908929267118,0.6903544739135727,0.6914493371455853,0.6723174988785903,0.4157422066725188
Pr.Pl_all,0.6109959921951049,0.6344713968546405,0.6286134940123196,0.6220187112934152,0.5494574280524391
