,best,best-CR,best-CR-occl,best-CR-occl-cumul,best-CR-occl-cumul-flex
Pr_training,0.7796261225171621,0.7786343371346699,0.7760666676561739,0.7683342321214426,0.7021407768534608
Pl_training,0.7058605122029797,0.7061235303699462,0.7102475310913008,0.6909882440254774,0.6423100512726012
36N_training,0.6603414084296783,0.659912378441041,0.6598426004548394,0.6435643028860258,0.37702915301326545
Pr.Pl_training,0.7369074812336189,0.7368927281727986,0.7314518037367344,0.7233070731645396,0.6660268304991629
Pr_validation,0.7878132738796756,0.7865615266617929,0.7817886911067885,0.7750981416656672,0.708197377007807
Pl_validation,0.7068055828974542,0.706188694145035,0.711473332127405,0.6922757293174566,0.6184763178205771
36N_validation,0.6707156089137372,0.6690822596076399,0.6697337033274441,0.6403514638778756,0.4252722570442895
Pr.Pl_validation,0.7494550901000229,0.748830715225616,0.7442996945887345,0.7376634103131281,0.6675123353415894
Pr_evaluation,0.7871644810305157,0.786540074826415,0.7907629516756934,0.7856837069643575,0.717824317508204
Pl_evaluation,0.7070081075053894,0.7067508237817391,0.7103257486537958,0.6902075742202786,0.6398311823193986
36N_evaluation,0.7757476069833935,0.7754155497094559,0.7767043712725286,0.7669419790178734,0.5547677262271401
Pr.Pl_evaluation,0.7420505028779099,0.7420458927751951,0.7409664670068703,0.7348923009496012,0.6742168518616682
Pr_all,0.7829217409107687,0.781952507125059,0.7802029214322082,0.7732150475307,0.7066417659911282
Pl_all,0.7062883651803897,0.7062705273779002,0.7104435785853349,0.6909135450188819,0.6373320862539524
36N_all,0.6940621004627399,0.6934253362140879,0.6937476992608917,0.6765878928053433,0.42380717417423597
Pr.Pl_all,0.7404619295474724,0.7403338031483964,0.7358950633710948,0.7284400249699798,0.6679423509671022
